the, 15173
and, 11436
to, 9528
he, 8149
i, 7995
of, 7281
a, 6804
you, 6305
that, 6177
it, 5852
in, 5514
was, 4776
his, 4345
s, 3480
for, 3471
him, 3377
but, 3267
at, 3004
with, 2986
not, 2907
had, 2854
is, 2433
on, 2334
me, 2292
all, 2196
as, 2132
t, 2108
have, 1983
her, 1885
be, 1874
she, 1784
what, 1743
so, 1705
my, 1691
one, 1603
from, 1486
there, 1357
they, 1310
alyosha, 1243
this, 1241
are, 1222
by, 1205
no, 1205
will, 1168
if, 1162
been, 1105
would, 1102
up, 1091
your, 1064
only, 1055
were, 1000
said, 995
them, 987
out, 959
an, 943
now, 927
mitya, 917
man, 908
who, 898
do, 866
0.500261
